game_genre,resolution,preset,ray_tracing,upscaling,gpu_utilization,vram_used_mb,vram_utilization,cpu_utilization,ram_utilization,gpu_temperature,gpu_clock_mhz,gpu_power_watts,cpu_gpu_ratio,vram_pressure,thermal_throttle,resolution_width,resolution_height,total_pixels,preset_ordinal,fps,frame_time,low_1pct_fps,bottleneck_class,health_score
strategy,2560x1440,medium,0,fsr_quality,69.67,1664.44,40.64,69.76,75.04,76.92,1620.67,69.78,1.0013,0,0,2560,1440,3686400,1,57.4,17.42,36.6,BALANCED,92.5
fps_aaa,1920x1080,medium,0,none,51.2,1568.4,38.29,41.38,79.89,63.41,1582.02,70.25,0.8081,0,0,1920,1080,2073600,1,100.4,9.96,49.2,BALANCED,100.0
strategy,3840x2160,high,0,fsr_balanced,92.65,2889.66,70.55,70.7,81.99,87.13,1660.35,73.68,0.7631,1,1,3840,2160,8294400,2,23.4,42.74,13.7,THERMAL,45.6
moba,1920x1080,low,0,none,46.88,1706.99,41.67,69.92,85.16,63.97,1695.0,56.36,1.4915,0,0,1920,1080,2073600,0,264.6,3.78,133.4,BALANCED,95.0
battle_royale,1920x1080,epic,0,fsr_quality,82.25,2774.65,67.74,47.87,76.35,80.76,1631.35,78.44,0.5819,0,0,1920,1080,2073600,4,71.1,14.06,40.6,BALANCED,82.7
fps_aaa,1920x1080,medium,0,fsr_quality,61.17,1554.37,37.95,45.14,70.82,74.78,1695.0,66.05,0.738,0,0,1920,1080,2073600,1,141.9,7.05,67.2,BALANCED,100.0
racing,2560x1440,ultra,0,fsr_quality,91.8,3037.23,74.15,34.34,77.32,98.0,1417.99,73.22,0.3741,1,1,2560,1440,3686400,3,53.4,18.73,30.5,THERMAL,65.6
strategy,2560x1440,medium,1,none,81.01,2496.17,60.94,82.58,79.89,85.94,1694.9,71.81,1.0194,0,1,2560,1440,3686400,1,23.7,42.19,11.2,THERMAL,45.8
fps_competitive,2560x1440,low,0,none,70.02,1766.33,43.12,40.51,77.08,69.88,1629.61,67.09,0.5785,0,0,2560,1440,3686400,0,166.1,6.02,93.3,BALANCED,100.0
moba,1920x1080,epic,0,fsr_quality,73.65,2790.22,68.12,58.73,92.78,82.37,1695.0,70.6,0.7975,1,0,1920,1080,2073600,4,90.4,11.06,58.5,BALANCED,62.9
